INSERT INTO Course (CourseId, Department, Faculty, University) VALUES
(1000, 'Chemistry', 'Science', 'MacEwan University'),
(1001, 'Psychology', 'Science', 'University of Calgary'),
(1002, 'Film', 'Arts', 'SAIT'),
(1003, 'Accounting', 'Business', 'Bow Valley University'),
(1004, 'Biology', 'Science', 'NorQuest College'),
(1005, 'English', 'Arts', 'Athabasca University'),
(1006, 'Computer Science', 'Science', 'SAIT'),
(1007, 'Economics', 'Business', 'Mount Royal University'),
(1008, 'Economics', 'Business', 'NorQuest College'),
(1009, 'Economics', 'Business', 'University of Alberta'),
(1010, 'History', 'Arts', 'Bow Valley University'),
(1011, 'English', 'Arts', 'University of Alberta'),
(1012, 'Computer Science', 'Science', 'Athabasca University'),
(1013, 'Music', 'Arts', 'MacEwan University'),
(1014, 'English', 'Arts', 'Mount Royal University'),
(1015, 'Law', 'Law', 'University of Calgary'),
(1016, 'Economics', 'Business', 'MacEwan University'),
(1017, 'English', 'Arts', 'MacEwan University'),
(1018, 'Music', 'Arts', 'University of Alberta'),
(1019, 'Fine Arts', 'Arts', 'NorQuest College'),
(1020, 'Fine Arts', 'Arts', 'NAIT'),
(1021, 'History', 'Arts', 'Mount Royal University'),
(1022, 'Film', 'Arts', 'Mount Royal University'),
(1023, 'History', 'Arts', 'Bow Valley University'),
(1024, 'Drama', 'Arts', 'Mount Royal University'),
(1025, 'Biology', 'Science', 'SAIT'),
(1026, 'Math', 'Science', 'Bow Valley University'),
(1027, 'History', 'Arts', 'NAIT'),
(1028, 'Chemistry', 'Science', 'Mount Royal University'),
(1029, 'Finance', 'Business', 'University of Calgary'),
(1030, 'Economics', 'Business', 'Athabasca University'),
(1031, 'Math', 'Science', 'SAIT'),
(1032, 'Economics', 'Business', 'Athabasca University'),
(1033, 'Math', 'Science', 'University of Alberta'),
(1034, 'Biology', 'Science', 'University of Alberta'),
(1035, 'English', 'Arts', 'Bow Valley University'),
(1036, 'Law', 'Law', 'MacEwan University'),
(1037, 'Finance', 'Business', 'NAIT'),
(1038, 'Drama', 'Arts', 'NorQuest College'),
(1039, 'Physics', 'Science', 'NAIT'),
(1040, 'Finance', 'Business', 'University of Calgary'),
(1041, 'Law', 'Law', 'MacEwan University'),
(1042, 'Finance', 'Business', 'SAIT'),
(1043, 'Music', 'Arts', 'NorQuest College'),
(1044, 'Economics', 'Business', 'MacEwan University'),
(1045, 'Accounting', 'Business', 'SAIT'),
(1046, 'English', 'Arts', 'Mount Royal University'),
(1047, 'Law', 'Law', 'Mount Royal University'),
(1048, 'Music', 'Arts', 'NAIT'),
(1049, 'Finance', 'Business', 'NorQuest College'),
(1050, 'Psychology', 'Science', 'MacEwan University'),
(1051, 'History', 'Arts', 'University of Calgary'),
(1052, 'Music', 'Arts', 'NorQuest College'),
(1053, 'Chemistry', 'Science', 'Bow Valley University'),
(1054, 'Accounting', 'Business', 'University of Alberta'),
(1055, 'Drama', 'Arts', 'Athabasca University'),
