INSERT INTO Student (StudentId, Major, Gender) VALUES
(100000, 'Computer Science', 'Male'),
(100001, 'History', 'Female'),
(100002, 'Law', 'Female'),
(100003, 'Biology', 'Female'),
(100004, 'Music', 'Female'),
(100005, 'Music', 'Male'),
(100006, 'Computer Science', 'Female'),
(100007, 'Biology', 'Male'),
(100008, 'Drama', 'Female'),
(100009, 'Drama', 'Female'),
(100010, 'Chemistry', 'Female'),
(100011, 'Psychology', 'Female'),
(100012, 'Computer Science', 'Female'),
(100013, 'Chemistry', 'Female'),
(100014, 'Psychology', 'Female'),
(100015, 'Drama', 'Female'),
(100016, 'Economics', 'Female'),
(100017, 'Biology', 'Female'),
(100018, 'History', 'Male'),
(100019, 'Fine Arts', 'Female'),
(100020, 'History', 'Female'),
(100021, 'Finance', 'Female'),
(100022, 'Fine Arts', 'Male'),
(100023, 'Economics', 'Male'),
(100024, 'Fine Arts', 'Male'),
(100025, 'Computer Science', 'Female'),
(100026, 'History', 'Male'),
(100027, 'Film', 'Female'),
(100028, 'Film', 'Female'),
(100029, 'Biology', 'Female'),
(100030, 'Biology', 'Male'),
(100031, 'English', 'Male'),
(100032, 'Physics', 'Female'),
(100033, 'History', 'Female'),
(100034, 'Accounting', 'Female'),
(100035, 'Biology', 'Male'),
(100036, 'English', 'Male'),
(100037, 'Biology', 'Male'),
(100038, 'Psychology', 'Female'),
(100039, 'Math', 'Male'),
(100040, 'Computer Science', 'Male'),
(100041, 'Law', 'Male'),
(100042, 'Film', 'Male'),
(100043, 'Drama', 'Male'),
(100044, 'Chemistry', 'Male'),
(100045, 'Drama', 'Female'),
(100046, 'Computer Science', 'Female'),
(100047, 'English', 'Female'),
(100048, 'Music', 'Female'),
(100049, 'Film', 'Female'),
(100050, 'Law', 'Male'),
(100051, 'Fine Arts', 'Male'),
(100052, 'Physics', 'Male'),
(100053, 'Music', 'Female'),
(100054, 'Computer Science', 'Female'),
(100055, 'Film', 'Female'),
(100056, 'Finance', 'Female'),
(100057, 'Chemistry', 'Female'),
(100058, 'Drama', 'Male'),
(100059, 'Economics', 'Female'),
(100060, 'Accounting', 'Male'),
(100061, 'Computer Science', 'Female'),
(100062, 'History', 'Male'),
(100063, 'Math', 'Male'),
(100064, 'English', 'Male'),
(100065, 'Law', 'Male'),
(100066, 'Law', 'Male'),
(100067, 'History', 'Female'),
(100068, 'Physics', 'Female'),
(100069, 'Biology', 'Male'),
(100070, 'Fine Arts', 'Female'),
(100071, 'Chemistry', 'Female'),
(100072, 'Music', 'Male'),
(100073, 'Math', 'Male'),
(100074, 'Psychology', 'Male'),
(100075, 'English', 'Female'),
(100076, 'Biology', 'Female'),
(100077, 'Law', 'Male'),
(100078, 'Music', 'Male'),
(100079, 'Chemistry', 'Female'),
(100080, 'English', 'Female'),
(100081, 'Math', 'Female'),
(100082, 'Computer Science', 'Male'),
(100083, 'Drama', 'Female'),
(100084, 'Economics', 'Female'),
(100085, 'Drama', 'Male'),
(100086, 'English', 'Female'),
(100087, 'English', 'Male'),
(100088, 'Drama', 'Male'),
(100089, 'Accounting', 'Female'),
(100090, 'History', 'Female'),
(100091, 'Psychology', 'Female'),
(100092, 'Biology', 'Male'),
(100093, 'Physics', 'Male'),
(100094, 'Accounting', 'Female'),
(100095, 'Economics', 'Female'),
(100096, 'Physics', 'Male'),
(100097, 'Economics', 'Female'),
(100098, 'Accounting', 'Male'),
(100099, 'Psychology', 'Female'),
(100100, 'Law', 'Female'),
(100101, 'Music', 'Male'),
(100102, 'Accounting', 'Male'),
(100103, 'History', 'Male'),
(100104, 'Math', 'Male'),
(100105, 'Finance', 'Female'),
(100106, 'Accounting', 'Male'),
(100107, 'Economics', 'Male'),
(100108, 'Finance', 'Female'),
(100109, 'Psychology', 'Female'),
(100110, 'English', 'Male'),
(100111, 'Film', 'Female'),
(100112, 'Chemistry', 'Female'),
(100113, 'Physics', 'Male'),
(100114, 'Finance', 'Male'),
(100115, 'Psychology', 'Female'),
(100116, 'Economics', 'Male'),
(100117, 'Economics', 'Male'),
(100118, 'Music', 'Female'),
(100119, 'Music', 'Female'),
(100120, 'Law', 'Male'),
(100121, 'Physics', 'Female'),
(100122, 'Math', 'Male'),
(100123, 'Physics', 'Female'),
(100124, 'Film', 'Female'),
(100125, 'Music', 'Male'),
(100126, 'Law', 'Female'),
(100127, 'Fine Arts', 'Female'),
(100128, 'Music', 'Female'),
(100129, 'Biology', 'Female'),
(100130, 'Film', 'Non-binary'),
(100131, 'Economics', 'Male'),
(100132, 'Chemistry', 'Female'),
(100133, 'Computer Science', 'Male'),
(100134, 'Law', 'Male'),
(100135, 'Film', 'Male'),
(100136, 'Chemistry', 'Female'),
(100137, 'Drama', 'Male'),
(100138, 'Chemistry', 'Male'),
(100139, 'Finance', 'Female'),
(100140, 'Math', 'Male'),
(100141, 'Law', 'Female'),
(100142, 'Physics', 'Female'),
(100143, 'Finance', 'Female'),
(100144, 'History', 'Female'),
(100145, 'Music', 'Male'),
(100146, 'Film', 'Male'),
(100147, 'Psychology', 'Female'),
(100148, 'Music', 'Female'),
(100149, 'Finance', 'Female'),
(100150, 'English', 'Male'),
(100151, 'Chemistry', 'Male'),
(100152, 'Economics', 'Female'),
(100153, 'Math', 'Male'),
(100154, 'Music', 'Female'),
(100155, 'English', 'Male'),
(100156, 'Finance', 'Female'),
(100157, 'Accounting', 'Male'),
(100158, 'Drama', 'Female'),
(100159, 'Math', 'Male'),
(100160, 'History', 'Male'),
(100161, 'Accounting', 'Female'),
(100162, 'Accounting', 'Male'),
(100163, 'Economics', 'Female'),
(100164, 'Physics', 'Male'),
(100165, 'History', 'Male'),
(100166, 'Computer Science', 'Female'),
(100167, 'Chemistry', 'Female'),
(100168, 'Biology', 'Male'),
(100169, 'Drama', 'Male'),
(100170, 'Fine Arts', 'Female'),
(100171, 'Finance', 'Female'),
(100172, 'English', 'Male'),
(100173, 'Physics', 'Male'),
(100174, 'Accounting', 'Female'),
(100175, 'Music', 'Female'),
(100176, 'History', 'Male'),
(100177, 'Math', 'Female'),
(100178, 'Fine Arts', 'Female'),
(100179, 'Music', 'Female'),
(100180, 'Chemistry', 'Female'),
(100181, 'Film', 'Male'),
(100182, 'Economics', 'Female'),
(100183, 'Music', 'Female'),
(100184, 'Physics', 'Female'),
(100185, 'Music', 'Male'),
(100186, 'Physics', 'Male'),
(100187, 'Chemistry', 'Male'),
(100188, 'History', 'Female'),
(100189, 'Computer Science', 'Female'),
(100190, 'English', 'Male'),
(100191, 'Economics', 'Female'),
(100192, 'Psychology', 'Female'),
(100193, 'Computer Science', 'Female'),
(100194, 'Music', 'Male'),
(100195, 'Music', 'Male'),
(100196, 'Biology', 'Male'),
(100197, 'Finance', 'Female'),
(100198, 'Psychology', 'Male'),
(100199, 'Psychology', 'Male'),
(100200, 'English', 'Non-binary'),
(100201, 'Psychology', 'Male'),
(100202, 'Accounting', 'Female'),
(100203, 'Economics', 'Female'),
(100204, 'Biology', 'Male'),
(100205, 'Economics', 'Female'),
(100206, 'Finance', 'Male'),
(100207, 'History', 'Male'),
(100208, 'History', 'Female'),
(100209, 'English', 'Male'),
(100210, 'Biology', 'Female'),
(100211, 'Computer Science', 'Female'),
(100212, 'History', 'Male'),
(100213, 'History', 'Female'),
(100214, 'Law', 'Female'),
(100215, 'Film', 'Male'),
(100216, 'English', 'Female'),
(100217, 'Psychology', 'Female'),
(100218, 'Law', 'Female'),
(100219, 'Math', 'Female'),
(100220, 'English', 'Male'),
(100221, 'Fine Arts', 'Female'),
(100222, 'Fine Arts', 'Male'),
(100223, 'Physics', 'Female'),
(100224, 'Music', 'Male'),
(100225, 'Accounting', 'Male'),
(100226, 'Fine Arts', 'Male'),
(100227, 'Accounting', 'Female'),
(100228, 'Finance', 'Male'),
(100229, 'Psychology', 'Female'),
(100230, 'Physics', 'Female'),
(100231, 'Biology', 'Female'),
(100232, 'Biology', 'Female'),
(100233, 'History', 'Male'),
(100234, 'Fine Arts', 'Female'),
(100235, 'Law', 'Male'),
(100236, 'English', 'Male'),
(100237, 'Fine Arts', 'Female'),
(100238, 'Math', 'Male'),
(100239, 'Drama', 'Female'),
(100240, 'Drama', 'Male'),
(100241, 'Computer Science', 'Female'),
(100242, 'History', 'Female'),
(100243, 'Chemistry', 'Male'),
(100244, 'Finance', 'Female'),
(100245, 'Psychology', 'Male'),
(100246, 'English', 'Male'),
(100247, 'Math', 'Male'),
(100248, 'Physics', 'Male'),
(100249, 'History', 'Female'),
(100250, 'Physics', 'Male'),
(100251, 'Finance', 'Male'),
(100252, 'Biology', 'Female'),
(100253, 'Biology', 'Male'),
(100254, 'Psychology', 'Male'),
(100255, 'Drama', 'Male'),
(100256, 'Law', 'Male'),
(100257, 'Music', 'Male'),
(100258, 'Law', 'Male'),
(100259, 'History', 'Female'),
(100260, 'Accounting', 'Female'),
(100261, 'History', 'Male'),
(100262, 'Economics', 'Male'),
(100263, 'Finance', 'Male'),
(100264, 'Law', 'Male'),
(100265, 'Law', 'Male'),
(100266, 'English', 'Male'),
(100267, 'Chemistry', 'Male'),
(100268, 'Math', 'Female'),
(100269, 'Film', 'Female'),
(100270, 'Law', 'Female'),
(100271, 'English', 'Male'),
(100272, 'Law', 'Male'),
(100273, 'Law', 'Male'),
(100274, 'Music', 'Female'),
(100275, 'Chemistry', 'Male'),
(100276, 'Music', 'Male'),
(100277, 'Biology', 'Female'),
(100278, 'Law', 'Female'),
(100279, 'Math', 'Male'),
(100280, 'Psychology', 'Male'),
(100281, 'Chemistry', 'Male'),
(100282, 'Physics', 'Female'),
(100283, 'Biology', 'Female'),
(100284, 'English', 'Female'),
(100285, 'Law', 'Male'),
(100286, 'Economics', 'Male'),
(100287, 'Film', 'Male'),
